Student_ID,Age,Gender,Attendance,Assignment_1,Assignment_2,Assignment_3,Assignment_4,Test_1,Test_2,Midterm,Final_Exam,Study_Hours_Per_Week,Previous_GPA,Avg_Assignment,Avg_Test,Final_Grade,Grade_Letter,Cluster
STU_0001,24,Male,90.03923114281241,75.67072212207992,98.23154617003128,99.93743806952529,92.9698987359856,91.34154181608729,69.44427461600793,65.0413258728193,100.0,13.073149996745478,2.125233486435189,91.70240127440552,81.45678557622863,85.38871484234008,B,0
STU_0002,21,Female,92.41613930874745,91.61850976186894,84.76440707675124,77.2300987735002,100.0,77.1903200838065,76.6625579997932,78.60227702751402,97.22847934443526,19.404336653470388,2.164551791370331,88.4032539030301,82.42090861388725,85.21513527011612,B,0
STU_0003,22,Male,84.97546050033853,90.85383962557536,73.24363904756,70.59663322318772,75.94623025013138,73.52994328363096,87.99305368523196,96.02066010936188,100.0,20.98896261071189,2.871219879270883,77.66008553661362,89.3859142695562,85.42712027275165,B,2
STU_0004,24,Female,78.6095149215337,73.80424790622234,93.503955151764,91.2135691704472,80.73680433981623,45.00355753438804,70.97843787194161,90.3517032594714,99.86356798278148,21.223572884092043,1.7245131139148118,84.81464414206243,76.54931666214563,79.23493473205947,C,0
STU_0005,20,Male,100.0,81.49013999646753,81.8299587167351,100.0,64.26310112580862,92.32553027603836,72.58082027354735,85.65570234085564,79.03766183169688,21.17646257425212,2.9579155002963224,81.89579995975282,82.39992868053456,84.00869719624657,B,0
STU_0006,22,Male,83.62650909025244,100.0,81.60163802170085,84.64295519234238,100.0,100.0,54.11820847912729,92.99111349933288,85.16403639092145,14.13032464189786,2.064653349662905,91.5611483035108,83.06833959234541,85.67199915548574,B,0
STU_0007,22,Female,99.05608780472768,76.10738745265262,84.49823227941162,94.42922584217855,85.9488300968314,71.22551119935174,77.97838227330216,100.0,97.35570866000856,21.99265137353581,3.811027256719191,85.24591891776855,86.63990053316562,87.46332477570269,B,0
STU_0008,24,Male,76.46010804176834,100.0,91.26063741675412,75.01525248770918,93.48483832847842,49.94175642251758,72.59182065999991,93.86426768155822,82.24662876625645,22.98424897302921,3.0815936444693617,89.94018205823542,74.66111838258304,79.42473645119728,C,0
STU_0009,19,Female,91.20569199928111,100.0,79.4923251748213,65.49632590298769,95.4891501415933,71.9292155879073,84.86886716322513,58.29317427506875,64.57686065795427,15.694002272707552,4.0,85.11945030485057,69.91702942103886,76.6066219440066,C,1
STU_0010,20,Female,100.0,100.0,95.30419738970834,87.493984688511,100.0,99.38163324424384,87.97459780323749,73.68351318692851,78.19022979046274,20.88618300783782,2.8402595943484528,95.69954551955485,84.80749350621815,89.59435975959735,B,0
STU_0011,24,Female,45.868179854734365,70.15073840443199,78.49078345936734,84.4528175622921,67.11582597646164,69.6048779553627,89.94408211195044,79.7391233852426,57.559225884041815,15.206185092582892,0.8077793162208224,75.05254135063826,74.21182733414939,71.62967679115455,C,2
STU_0012,20,Male,75.17372074263884,79.98903396332247,66.51212327799574,77.14870571854645,92.98117107947157,71.50076029422232,69.12049965054554,100.0,87.55663738410252,22.051162577754397,4.0,79.15775850983405,82.04447433221759,80.49138422654465,B,2
STU_0013,20,Male,93.90613263761816,77.65315613212837,83.8389686783301,93.8564610340844,84.0154826691262,82.3693623228527,36.14342188870924,62.76729932822744,46.41543081168096,14.19168381318221,3.351346210933948,84.84101712841726,56.92387858786758,68.99724555500754,D,1
STU_0014,22,Female,100.0,100.0,69.77179895282177,75.1887998527852,100.0,85.53643357639162,87.83166453319123,83.22029709096574,88.22259033752118,11.952397591534076,3.459835515272472,86.24014970140175,86.20274638451744,87.59369274113098,B,0
STU_0015,21,Female,88.0467032191976,75.28941373183841,84.41947216855888,70.27337633414363,71.28920763697951,53.13037650870855,81.28519342199408,55.07140774036782,45.49590913123575,9.400042848641917,2.298191487179165,75.31786746788012,58.74572170057655,66.64746358262973,D,1
STU_0016,20,Male,85.74359093949107,94.54259149409222,96.0164680324211,99.4840030512416,100.0,77.32835173998305,63.86419667832979,99.65414605635432,73.16999708498577,14.131854833811747,2.970006361083228,97.51076564443872,78.50417288991324,84.93009252122866,B,0
STU_0017,23,Female,100.0,95.17449116788062,68.89556490996827,100.0,90.25512668842596,73.09345603895339,85.77215145657765,87.92182954339108,92.1262945791724,15.421940971641511,3.130522612594962,88.58129569156871,84.72843290452363,87.41144845018479,B,0
STU_0018,22,Female,100.0,84.27955703928735,90.46410108706658,75.48485341246482,89.46784141309033,67.98229910880606,47.776909814627736,59.98040081997647,95.34151162552214,10.27073669312023,2.833525567675731,84.92408823797726,67.7702803422331,76.13939467673303,C,1
STU_0019,19,Female,71.97127094428451,100.0,69.76156521913033,100.0,83.0074379851408,60.42127863498222,93.70037047104807,59.08428207915959,92.1751228616983,13.749457705021706,1.7859460223225685,88.19225080106779,76.34526351172204,79.46196044178201,C,1
